8.1543 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
8.1553 	INFO 	Loaded monitor calibration from ['2025_07_19 10:04']
9.5448 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020E21C4D0F0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020E21C4D090>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020E22C2B3A0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.5449 	EXP 	window1: backgroundImage = ''
9.5449 	EXP 	window1: backgroundFit = 'none'
9.5767 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5779 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5790 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5804 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5815 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5820 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5828 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5838 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5841 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5845 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5852 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5859 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5866 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5872 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5878 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5885 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5892 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5896 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5901 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5910 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5921 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.5950 	DEBUG 	Uploading Texture Font fontname to graphics card
9.6347 	DEBUG 	Upload of Texture Font fontname complete
9.6456 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6475 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6487 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.6491 	DEBUG 	Uploading Texture Font fontname to graphics card
9.6629 	DEBUG 	Upload of Texture Font fontname complete
9.6652 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.6653 	EXP 	window1: recordFrameIntervals = False
9.8679 	EXP 	window1: recordFrameIntervals = True
10.0511 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
10.0512 	EXP 	window1: recordFrameIntervals = False
10.0619 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.0630 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.0645 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.0661 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.0674 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.0686 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.0692 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.0701 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.0711 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.0720 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.0723 	DEBUG 	Uploading Texture Font fontname to graphics card
10.0729 	DEBUG 	Upload of Texture Font fontname complete
10.1370 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
15.2292 	INFO 	keyboard.Keyboard is using iohub backend.
15.2293 	INFO 	keyboard.Keyboard is using iohub backend.
15.2293 	INFO 	keyboard.Keyboard is using iohub backend.
15.2293 	INFO 	keyboard.Keyboard is using iohub backend.
15.2293 	EXP 	stroop_alimentario: status = STARTED
15.6652 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
